number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_embed_dim,params_weight_decay,state
0,0.47911616992585515,2025-07-04 02:34:32.095878,2025-07-04 02:36:52.289535,0 days 00:02:20.193657,0.14815182736430788,22,5.017288563069385e-06,COMPLETE
1,0.4691130021701054,2025-07-04 02:36:52.296345,2025-07-04 02:40:16.693698,0 days 00:03:24.397353,0.24587648702343184,12,1.466533471440728e-05,COMPLETE
2,0.47155284151739,2025-07-04 02:40:16.694489,2025-07-04 02:42:52.804747,0 days 00:02:36.110258,0.13531660472209714,22,0.00018914133910606157,COMPLETE
3,0.4931752132822056,2025-07-04 02:42:52.805511,2025-07-04 02:45:55.382308,0 days 00:03:02.576797,0.3733726430077661,27,0.00031335019863186497,COMPLETE
4,0.4893787649213051,2025-07-04 02:45:55.383104,2025-07-04 02:48:45.943337,0 days 00:02:50.560233,0.32288804183617237,20,0.00043037724973764323,COMPLETE
5,0.48673268057862107,2025-07-04 02:48:45.944016,2025-07-04 02:50:44.371925,0 days 00:01:58.427909,0.26203389521698667,30,0.0007949401408021149,COMPLETE
6,0.5046166315370676,2025-07-04 02:50:44.374276,2025-07-04 02:51:41.605583,0 days 00:00:57.231307,0.21088325063997343,25,8.647769463832571e-06,COMPLETE
7,0.4981706046632358,2025-07-04 02:51:41.609138,2025-07-04 02:53:16.057465,0 days 00:01:34.448327,0.37188685252979914,4,0.0006165777359904909,COMPLETE
8,0.4864307877664663,2025-07-04 02:53:16.058193,2025-07-04 02:55:31.748723,0 days 00:02:15.690530,0.25479679306671177,19,0.0006052851506927576,COMPLETE
9,0.48193552846811255,2025-07-04 02:55:31.833828,2025-07-04 02:58:30.333518,0 days 00:02:58.499690,0.20583761585689922,29,0.00032524931954943216,COMPLETE
10,0.4848121470030473,2025-07-04 02:58:30.337553,2025-07-04 03:01:44.741182,0 days 00:03:14.403629,0.48168125911356047,10,3.842936929096273e-05,COMPLETE
11,0.47308726517521604,2025-07-04 03:01:44.741874,2025-07-04 03:04:24.618555,0 days 00:02:39.876681,0.11066162972127362,12,5.4466454000115574e-05,COMPLETE
12,0.4831213166519087,2025-07-04 03:04:24.621979,2025-07-04 03:07:14.200758,0 days 00:02:49.578779,0.16582156760266442,14,1.6465502321561227e-06,COMPLETE
13,0.47211019299468215,2025-07-04 03:07:14.204329,2025-07-04 03:10:13.737940,0 days 00:02:59.533611,0.13969481973992307,7,0.00011939630466245442,COMPLETE
14,0.46932680159807205,2025-07-04 03:10:13.741119,2025-07-04 03:13:19.761277,0 days 00:03:06.020158,0.20781785619086837,15,1.3414443372060825e-05,COMPLETE
15,0.4825968819917465,2025-07-04 03:13:19.764760,2025-07-04 03:16:07.621951,0 days 00:02:47.857191,0.3173594773470779,15,9.462174603149967e-06,COMPLETE
16,0.4822669293807477,2025-07-04 03:16:07.624562,2025-07-04 03:25:46.244930,0 days 00:09:38.620368,0.21414530741984958,16,1.7479839904975447e-05,COMPLETE
17,0.47249785126472005,2025-07-04 03:25:46.247262,2025-07-04 03:28:51.597606,0 days 00:03:05.350344,0.2690347862812349,10,2.3920226628424598e-06,COMPLETE
18,0.4864569327660969,2025-07-04 03:28:51.598253,2025-07-04 03:30:41.326276,0 days 00:01:49.728023,0.3747705503236412,8,1.8475315414103444e-05,COMPLETE
19,0.48596300184726715,2025-07-04 03:30:41.326490,2025-07-04 03:33:57.404004,0 days 00:03:16.077514,0.4700525849145006,17,3.316049072685378e-06,COMPLETE
20,0.4826612239893602,2025-07-04 03:33:57.404728,2025-07-04 03:35:50.916072,0 days 00:01:53.511344,0.19517185712416263,13,7.534192557450522e-05,COMPLETE
21,0.4725182556680271,2025-07-04 03:35:50.917008,2025-07-04 03:44:45.067822,0 days 00:08:54.150814,0.10851094248305304,21,0.0001465132767791384,COMPLETE
22,0.4706050204683323,2025-07-04 03:44:45.070302,2025-07-04 03:54:19.052343,0 days 00:09:33.982041,0.16479905219806218,24,2.49604468866494e-05,COMPLETE
23,0.468871149177454,2025-07-04 03:54:19.055881,2025-07-04 04:03:48.697031,0 days 00:09:29.641150,0.17863090122972175,25,2.1769218689858995e-05,COMPLETE
24,0.5108796624200684,2025-07-04 04:03:48.698110,2025-07-04 04:05:28.135849,0 days 00:01:39.437739,0.28974911890086863,18,1.0496815004284759e-05,COMPLETE
25,0.49605294149749135,2025-07-04 04:05:28.137050,2025-07-04 04:08:44.711144,0 days 00:03:16.574094,0.2424947207432403,32,4.687199826364882e-06,COMPLETE
26,0.4787926713422853,2025-07-04 04:08:44.713150,2025-07-04 04:14:05.672325,0 days 00:05:20.959175,0.1806145157633367,11,3.136456870939045e-05,COMPLETE
27,0.48637422645578576,2025-07-04 04:14:05.672939,2025-07-04 04:16:52.128315,0 days 00:02:46.455376,0.23370826210448448,4,1.4000776675821262e-05,COMPLETE
28,0.4740420655936611,2025-07-04 04:16:52.128969,2025-07-04 04:21:48.476377,0 days 00:04:56.347408,0.28535824692799916,8,1.1450445235899482e-06,COMPLETE
29,0.4721337032257294,2025-07-04 04:21:48.477050,2025-07-04 04:26:40.311314,0 days 00:04:51.834264,0.22985058823096852,25,6.428835969765929e-06,COMPLETE
